First,Last,Nickname,Height,Weight,Reach,Stance,Wins,Loss,Draw
Rodney,Wallace,Shonuff the Master,69,205,72,Switch,26,15,1
Jeremy,Wallace,NULL,69,NULL,NULL,NULL,4,6,0
Randall,Wallace,Braveheart,71,185,73,Orthodox,15,6,0
James,Wallace,Jesse,70,155,69,Orthodox,5,2,0
Jim,Wallhead,Judo,70,170,NULL,Orthodox,29,11,0
Cory,Walmsley,Hardcore,72,205,NULL,Orthodox,8,2,0
Richard,Walsh,Filthy Rich,72,170,73,Orthodox,9,5,0
Patrick,Walsh,The Beast of the East,71,185,NULL,NULL,10,3,0
Erick,Wanderlei,NULL,73,205,NULL,Orthodox,3,3,0
Dimitiri,Wanderley,NULL,0,205,NULL,Orthodox,5,2,0
Andy,Wang,NULL,66,155,NULL,Orthodox,7,8,1
Sai,Wang,The Fire Kylin,72,170,NULL,Southpaw,20,6,1
Anying,Wang,NULL,72,170,NULL,Orthodox,2,1,0
Joshua,Wang-Kim,Twin Dragon,69,135,71,Switch,5,2,0
Curt,Warburton,NULL,72,155,73,Orthodox,13,6,0
Brennan,Ward,The Irish Bad Boy,70,170,71,NULL,14,5,0
Charlie,Ward,NULL,71,170,NULL,Orthodox,3,3,0
Terrion,Ware,Flash,68,135,71,Orthodox,17,9,0
Joe,Warren,NULL,66,135,NULL,Orthodox,15,6,0
Brian,Warren,Mr. Unbreakable,72,185,NULL,Orthodox,18,17,1
Merritt,Warren,NULL,70,155,NULL,Southpaw,3,3,0
Idris,Wasi,NULL,72,186,NULL,NULL,2,14,0
Kengo,Watanabe,NULL,76,220,NULL,Orthodox,8,13,3
Kazuhisa,Watanabe,NULL,66,139,NULL,NULL,0,1,0
Ron,Waterman,H20,74,280,NULL,Orthodox,16,6,2
Andy,Waters,NULL,72,170,NULL,NULL,1,2,0
Dominic,Waters,Sho Nuff,73,170,79,Orthodox,9,5,0
Trey,Waters,The Truth,77,170,77,Orthodox,6,1,0
Michelle,Waterson-Gomez,The Karate Hottie,63,115,62,Orthodox,18,10,0
Sam,Watford,NULL,0,155,NULL,NULL,2,2,0
Blake,Watkins,NULL,0,185,NULL,NULL,5,1,0
Kyle,Watson,NULL,72,155,NULL,Southpaw,13,8,1
Maka,Watson,NULL,0,155,NULL,NULL,4,2,0
Walel,Watson,The Gazelle,71,135,75,Orthodox,14,10,0
Tom,Watson,Kong,73,185,73,Orthodox,17,9,0
Enrique,Watson,NULL,0,185,NULL,NULL,3,1,0
Brok,Weaver,Chata Tuska,72,155,73,Southpaw,15,6,0
Jonavin,Webb,The Spyder,70,170,NULL,Orthodox,9,2,0
Stephanie,Webber,NULL,66,135,NULL,NULL,2,2,0
Royston,Wee,NULL,67,135,67,Orthodox,4,1,0
Darian,Weeks,NULL,71,170,72,Orthodox,5,3,0
Joshua,Weems,Wide Open,68,135,69,Orthodox,11,3,0
Daniel,Weichel,The Weasel,70,145,70,NULL,39,9,0
Chris,Weidman,The All-American,74,185,78,Orthodox,15,6,0
Mark,Weir,The Wizard,74,185,NULL,Southpaw,21,18,1
Christian,Wellisch,The Hungarian Nightmare,74,234,77,Orthodox,8,5,0
Jeremiah,Wells,NULL,69,170,74,Switch,11,2,1
Fabricio,Werdum,Vai Cavalo,76,231,77,Orthodox,24,9,1
Mike,Wessel,Juggernaut,72,260,NULL,Orthodox,15,8,0
Dustin,West,NULL,71,170,NULL,NULL,6,6,0
